Version,Graph Name,Threads,Event,Power,Iteration
MPLP,NACA0015,36,dram,2.9577,1
MPLP,NACA0015,36,package-1,24.8962,1
MPLP,NACA0015,36,dram,3.49118,1
MPLP,NLR,36,package-0,87.754,1
MPLP,NLR,36,dram,15.3606,1
MPLP,NLR,36,package-1,87.8062,1
MPLP,NLR,36,dram,13.7988,1
PLP,belgium,36,package-0,41.0796,1
PLP,belgium,36,dram,4.51734,1
PLP,belgium,36,package-1,36.771,1
PLP,belgium,36,dram,3.84538,1
PLP,asia,36,package-0,254.645,1
PLP,asia,36,dram,24.6632,1
PLP,asia,36,package-1,246.61,1
PLP,asia,36,dram,29.1933,1
MPLP,belgium,36,package-0,25.1888,1
MPLP,belgium,36,dram,4.98131,1
MPLP,belgium,36,package-1,44.6374,1
MPLP,belgium,36,dram,4.57374,1
MPLP,asia,36,package-0,160.791,1
MPLP,asia,36,dram,29.7307,1
MPLP,asia,36,package-1,131.681,1
MPLP,asia,36,dram,22.9204,1
PLP,delaunay_n24,36,package-0,516.414,1
PLP,delaunay_n24,36,dram,56.8068,1
PLP,delaunay_n24,36,package-1,466.318,1
PLP,delaunay_n24,36,dram,53.5607,1
MPLP,delaunay_n24,36,package-0,257.802,1
MPLP,delaunay_n24,36,dram,40.0942,1
MPLP,delaunay_n24,36,package-1,258.858,1
MPLP,delaunay_n24,36,dram,55.7159,1
PLP,europe,36,package-0,1107.99,1
PLP,europe,36,dram,115.369,1
PLP,europe,36,package-1,989.642,1
PLP,europe,36,dram,113.272,1
PLP,germany,36,package-0,234.955,1
PLP,germany,36,dram,31.7875,1
PLP,germany,36,package-1,215.117,1
PLP,germany,36,dram,25.3681,1
MPLP,germany,36,package-0,131.479,1
MPLP,germany,36,dram,33.1621,1
MPLP,germany,36,package-1,130.091,1
MPLP,germany,36,dram,24.3032,1
MPLP,europe,36,package-0,635.126,1
MPLP,europe,36,dram,116.325,1
MPLP,europe,36,package-1,539.864,1
MPLP,europe,36,dram,108.811,1
PLP,in-2004,36,package-0,36.1991,1
PLP,in-2004,36,dram,3.80571,1
PLP,in-2004,36,package-1,35.2776,1
PLP,in-2004,36,dram,3.5304,1
MPLP,in-2004,36,package-0,21.2882,1
MPLP,in-2004,36,dram,4.8919,1
MPLP,in-2004,36,package-1,46.3751,1
MPLP,in-2004,36,dram,5.51839,1
PLP,loc-gowalla_edges,36,package-0,14.8573,1
PLP,loc-gowalla_edges,36,dram,1.98693,1
PLP,loc-gowalla_edges,36,package-1,16.4429,1
PLP,loc-gowalla_edges,36,dram,1.86971,1
PLP,kkt_power,36,package-0,68.616,1
PLP,kkt_power,36,dram,7.24412,1
PLP,kkt_power,36,package-1,59.7671,1
PLP,kkt_power,36,dram,6.80236,1
MPLP,loc-gowalla_edges,36,package-0,3.02557,1
MPLP,loc-gowalla_edges,36,dram,0.898294,1
MPLP,loc-gowalla_edges,36,package-1,7.0012,1
MPLP,loc-gowalla_edges,36,dram,0.963426,1
MPLP,kkt_power,36,package-0,41.5526,1
MPLP,kkt_power,36,dram,6.52386,1
MPLP,kkt_power,36,package-1,51.49,1
MPLP,kkt_power,36,dram,5.46478,1
PLP,luxembourg,36,package-0,4.42058,1
PLP,luxembourg,36,dram,0.620339,1
PLP,luxembourg,36,package-1,4.77904,1
PLP,luxembourg,36,dram,0.604503,1
MPLP,luxembourg,36,package-0,6.15056,1
MPLP,luxembourg,36,dram,1.56371,1
MPLP,luxembourg,36,package-1,17.5521,1
MPLP,luxembourg,36,dram,1.74516,1
PLP,netherlands,36,package-0,57.8627,1
PLP,netherlands,36,dram,6.72262,1
PLP,netherlands,36,package-1,54.0804,1
PLP,netherlands,36,dram,5.30694,1
MPLP,netherlands,36,package-0,33.696,1
MPLP,netherlands,36,dram,5.32472,1
MPLP,netherlands,36,package-1,44.6854,1
MPLP,netherlands,36,dram,5.17215,1
PLP,roadNet-PA,36,package-0,29.1012,1
PLP,roadNet-PA,36,dram,4.17701,1
PLP,roadNet-PA,36,package-1,29.1663,1
PLP,roadNet-PA,36,dram,3.11344,1
MPLP,roadNet-PA,36,package-0,14.7438,1
MPLP,roadNet-PA,36,dram,4.18629,1
MPLP,roadNet-PA,36,package-1,33.0871,1
MPLP,roadNet-PA,36,dram,3.21582,1
PLP,uk-2002,36,package-0,457.351,1
PLP,uk-2002,36,dram,48.1898,1
PLP,uk-2002,36,package-1,448.046,1
PLP,uk-2002,36,dram,43.4113,1
PLP,333SP,36,package-0,133.092,1
PLP,333SP,36,dram,14.4968,1
PLP,333SP,36,package-1,116.664,1
PLP,333SP,36,dram,13.498,1
MPLP,333SP,36,package-0,78.0558,1
MPLP,333SP,36,dram,14.6576,1
MPLP,333SP,36,package-1,87.1262,1
MPLP,333SP,36,dram,11.6903,1
PLP,nlpkkt200,36,package-0,8986.01,1
PLP,nlpkkt200,36,dram,900.395,1
PLP,nlpkkt200,36,package-1,8929.38,1
PLP,nlpkkt200,36,dram,1034.76,1
MPLP,uk-2002,36,package-0,217.356,1
MPLP,uk-2002,36,dram,43.18,1
MPLP,uk-2002,36,package-1,258.719,1
MPLP,uk-2002,36,dram,53.0453,1
PLP,M6,36,package-0,117.5,1
PLP,M6,36,dram,12.4578,1
PLP,M6,36,package-1,112.351,1
PLP,M6,36,dram,12.5533,1
PLP,AS365,36,package-0,125.719,1
PLP,AS365,36,dram,17.3022,1
PLP,AS365,36,package-1,112.788,1
PLP,AS365,36,dram,11.6543,1
MPLP,M6,36,package-0,71.1859,1
MPLP,M6,36,dram,12.8071,1
MPLP,M6,36,package-1,80.2577,1
MPLP,M6,36,dram,10.3315,1
MPLP,AS365,36,package-0,69.5841,1
MPLP,AS365,36,dram,16.5604,1
MPLP,AS365,36,package-1,76.7555,1
MPLP,AS365,36,dram,10.2106,1
MPLP,nlpkkt200,36,package-0,2254.68,1
MPLP,nlpkkt200,36,dram,290.347,1
MPLP,nlpkkt200,36,package-1,2189.44,1
MPLP,nlpkkt200,36,dram,280.556,1
PLP,NACA0015,36,package-0,35.4804,1
PLP,NACA0015,36,dram,4.06584,1
PLP,NACA0015,36,package-1,31.7663,1
PLP,NACA0015,36,dram,3.82977,1
MPLP,NACA0015,36,package-0,21.2653,1
MPLP,NACA0015,36,dram,3.29461,1
MPLP,NACA0015,36,package-1,24.5568,1
MPLP,NACA0015,36,dram,3.98669,1
PLP,Oregon-2,36,package-0,2.04211,1
PLP,Oregon-2,36,dram,0.46942,1
PLP,Oregon-2,36,package-1,4.2409,1
PLP,Oregon-2,36,dram,0.500219,1
PLP,NLR,36,package-0,170.019,1
PLP,NLR,36,dram,23.4126,1
PLP,NLR,36,package-1,155.944,1
PLP,NLR,36,dram,17.7005,1
PLP,asia,36,package-0,258.663,1
PLP,asia,36,dram,25.0111,1
PLP,asia,36,package-1,226.408,1
PLP,asia,36,dram,29.3267,1
MPLP,Oregon-2,36,package-0,1.87359,1
MPLP,Oregon-2,36,dram,0.502728,1
MPLP,Oregon-2,36,package-1,5.05486,1
MPLP,Oregon-2,36,dram,0.568548,1
MPLP,NLR,36,package-0,77.4251,1
MPLP,NLR,36,dram,16.6513,1
MPLP,NLR,36,package-1,81.9048,1
MPLP,NLR,36,dram,12.2549,1
MPLP,asia,36,package-0,141.449,1
MPLP,asia,36,dram,23.2067,1
MPLP,asia,36,package-1,152.935,1
MPLP,asia,36,dram,29.1122,1
PLP,belgium,36,package-0,33.3348,1
