GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
NACA0015,PLP,1039183,3114818,0.253385,8.55784,26699,0.815319,25,0,236,0,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.370933,9.9056,25688,0.818544,25,0,211,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0391347,0.745649,429,0.572516,25,0,3,0,0,36,LL,0,0
NLR,PLP,4163763,12487976,1.24478,40.2956,102693,0.819738,25,0,1197,0,0,36,LL,0,0
Oregon-2,MPLP,11806,32730,0.0147008,0.201618,398,0.112733,25,0,3,0,0,36,LL,0,0
NLR,MPLP,4163763,12487976,1.14494,21.7587,99942,0.821238,25,0,620,0,0,36,LL,0,0
asia,PLP,11950757,12711603,2.18445,77.1945,156502,0.968761,25,0,2147,0,0,36,LL,0,0
asia,MPLP,11950757,12711603,1.95286,29.865,156187,0.968789,25,0,568,0,0,36,LL,0,0
belgium,PLP,1441295,1549970,0.331996,10.0419,30759,0.949336,25,0,288,0,0,36,LL,0,0
belgium,MPLP,1441295,1549970,0.311421,6.71485,28615,0.951871,25,0,128,0,0,36,LL,0,0
delaunay_n24,PLP,16777216,50331601,3.89347,137.847,515905,0.809414,25,0,3853,0,0,36,LL,0,0
europe,PLP,50912018,54054660,9.40762,334.626,899745,0.961705,25,0,9323,0,0,36,LL,0,0
germany,PLP,11548845,12369181,2.0824,71.6743,254934,0.954137,25,0,2027,0,0,36,LL,0,0
delaunay_n24,MPLP,16777216,50331601,3.3261,53.3569,517317,0.809162,25,0,1311,0,0,36,LL,0,0
germany,MPLP,11548845,12369181,1.93395,24.5781,259366,0.953564,25,0,580,0,0,36,LL,0,0
europe,MPLP,50912018,54054660,8.16797,104.842,902372,0.96153,25,0,2554,0,0,36,LL,0,0
loc-gowalla_edges,PLP,196591,950327,0.116869,3.80884,516,0.563182,25,0,99,0,0,36,LL,0,0
kkt_power,PLP,2063494,6482320,0.484314,16.6957,38244,0.756435,25,0,469,0,0,36,LL,0,0
in-2004,PLP,1382908,13591473,0.439289,15.2471,25953,0.93999,25,0,422,0,0,36,LL,0,0
loc-gowalla_edges,MPLP,196591,950327,0.115724,1.96935,102,0.483788,25,0,50,0,0,36,LL,0,0
kkt_power,MPLP,2063494,6482320,0.472518,10.3482,38565,0.755667,25,0,205,0,0,36,LL,0,0
in-2004,MPLP,1382908,13591473,0.311553,5.84135,25885,0.938239,25,0,101,0,0,36,LL,0,0
luxembourg,PLP,114599,119666,0.0948651,2.66181,1837,0.965888,25,0,49,0,0,36,LL,0,0
netherlands,PLP,2216688,2441238,0.847866,29.3701,92793,0.918126,25,0,823,0,0,36,LL,0,0
luxembourg,MPLP,114599,119666,0.113665,2.78767,1861,0.965528,25,0,16,0,0,36,LL,0,0
netherlands,MPLP,2216688,2441238,0.485881,8.39719,91955,0.918655,25,0,165,0,0,36,LL,0,0
roadNet-PA,PLP,1088092,1541898,0.20168,6.42523,31645,0.900365,25,0,163,0,0,36,LL,0,0
roadNet-PA,MPLP,1088092,1541898,0.313851,5.78029,30497,0.902079,25,0,109,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,1.72592,61.438,63083,0.856989,25,0,1704,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,0.897086,18.4212,62318,0.856344,25,0,378,0,0,36,LL,0,0
M6,PLP,3501776,10501936,0.697493,24.2758,88450,0.816779,25,0,651,0,0,36,LL,0,0
AS365,PLP,3799275,11368076,0.738788,26.0586,93549,0.82145,25,0,715,0,0,36,LL,0,0
uk-2002,PLP,18520486,261787258,6.02715,214.649,248088,0.960694,25,0,5962,0,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.899813,15.8304,85292,0.819474,25,0,361,0,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.902248,16.4418,90416,0.823732,25,0,398,0,0,36,LL,0,0
nlpkkt200,PLP,16240000,215992816,82.4445,2942.66,2824775,0.347063,25,0,82401,0,0,36,LL,0,0
uk-2002,MPLP,18520486,261787258,3.31765,45.9165,247943,0.960882,25,0,1208,0,0,36,LL,0,0
NACA0015,PLP,1039183,3114818,0.321905,7.93189,26354,0.816723,25,0,299,0,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.279541,7.04577,26860,0.814352,25,0,105,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0350733,0.581017,421,0.542455,25,0,2,0,0,36,LL,0,0
NLR,PLP,4163763,12487976,1.0662,37.2629,105476,0.816708,25,0,1010,0,0,36,LL,0,0
